ID,NOM_TOPOGRAPHIE,VILLE,ARRONDISSEMENT,ID_VOIE_PUBLIQUE,LATITUDE,LONGITUDE
7809,Avenue des Tulipes,Québec,Charlesbourg,124557,46.89089334906265,-71.2813356567524
10390,Rue de Bastogne,Québec,Les Rivières,140648,46.836416186976265,-71.32478262751425
19043,Boulevard Laurier,Québec,Sainte-Foy–Sillery–Cap-Rouge,,46.76753964116469,-71.28190164362695
7810,Avenue des Tulipes,Québec,Charlesbourg,124558,46.89282309879714,-71.2831589236323
6763,Avenue Sainte-Thérèse,Québec,Beauport,126951,46.89429025570566,-71.22210544606824
11217,Montée des Cinquante,Québec,La Cité-Limoilou,,46.8299056333459,-71.1984775215355
7003,Rue des Pâquerettes,Québec,Charlesbourg,124541,46.88732882165257,-71.27861267548215
24085,Rue Irving,Québec,La Haute-Saint-Charles,123712,46.8620423790886,-71.39574114085082
7807,Avenue des Tulipes,Québec,Charlesbourg,124554,46.88806502115818,-71.2786344862635
7808,Avenue des Tulipes,Québec,Charlesbourg,124555,46.888971098157306,-71.27971471586628
12538,Boulevard Louis-XIV,Québec,Beauport,127578,46.896589472290174,-71.20797143935198
6506,Rue Marcadet,Québec,Beauport,127454,46.89266572301813,-71.21489906233307
11438,,Québec,La Cité-Limoilou,,46.83229124734172,-71.20550945622797
5780,Rue Jean-XXIII,Québec,Beauport,128211,46.88858108716531,-71.16969434219055
15580,Rue Paul-Émile-Giroux,Québec,Beauport,148086,46.88765315342241,-71.18581831798147
12131,Avenue Guilbault,Québec,Charlesbourg,203635,46.858760388376766,-71.27174443810968
10976,Rue Odilon-Lirette,Québec,Les Rivières,103842,46.855207260862166,-71.33839957724135
11448,Boulevard Henri-Bourassa,Québec,Beauport,125542,46.83492974638812,-71.20031201516886
11466,Rue Abraham-Martin,Québec,La Cité-Limoilou,,46.81962781519275,-71.19864853452962
11265,Boulevard Savard,Québec,Les Rivières,,46.850359028470415,-71.33368913746249
21856,Rue Marie-Fitzbach,Québec,Sainte-Foy–Sillery–Cap-Rouge,,46.7756126244124,-71.28257873090506
19817,Rue de l'Université,Québec,Sainte-Foy–Sillery–Cap-Rouge,116515,46.78119042045803,-71.26727595273353
20572,Rue de la Camomille,Québec,Les Rivières,200147,46.85085203325291,-71.33807051812389
1913,Carré Rose-Leclerc,Québec,Les Rivières,104565,46.848495093640175,-71.32575454520011
3624,Rue Marie-Lucie,Québec,Les Rivières,103575,46.85380750489337,-71.33058657122561
11254,Rue de Prague,Québec,Les Rivières,200319,46.84670533190888,-71.33826688520361
45523,Boulevard Pierre-Bertrand,Québec,Les Rivières,,46.839321220465436,-71.28810797679073
12682,Rue de l'Exposition,Québec,La Cité-Limoilou,,46.82759405865636,-71.24661221795935
11452,Rue Ressac,Québec,Beauport,,46.83326068024355,-71.19506318882328
